Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
1,1,1,Ava the Elephant,Yes,Healthcare,Female,"50,000",55%,"90,909",1,,,,,,,,1,"50,000",
2,1,1,Mr. Tod's Pie Factory,Yes,Food and Beverage,Male,"4,60,000",50%,"9,20,000",1,,,,1,,,,2,"2,30,000",
3,1,1,Wispots,No,Business Services,Male,,,,,,,,,,,,0,,
4,1,1,College Foxes Packing Boxes,No,Lifestyle / Home,Male,,,,,,,,,,,,0,,
5,1,1,Ionic Ear,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
6,1,2,A Perfect Pear,Yes,Food and Beverage,Female,"5,00,000",50%,"10,00,000",,,,1,,1,,,2,"2,50,000",
7,1,2,Classroom Jams,Yes,Children / Education,Male,"2,50,000",10%,"25,00,000",1,1,,1,1,1,,,5,"50,000",
8,1,2,Lifebelt,No,Consumer Products,Male,,,,,,,,,,,,0,,
9,1,2,Crooked Jaw,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
10,1,2,Sticky Note Holder,No,Lifestyle / Home,Female,,,,,,,,,,,,0,,
11,1,3,Turbobaster,Yes,Food and Beverage,Female,"35,000",100%,"35,000",,,,,,,1,,1,"35,000",2% royalty
12,1,3,Stress Free Kids,Yes,Children / Education,Female,"2,50,000",50%,"5,00,000",1,,,,,,,,1,"2,50,000",
13,1,3,Kwyzta Chopstick Art,No,Children / Education,Male,,,,,,,,,,,,0,,
14,1,3,50 State Capitals in 50 Minutes,No,Children / Education,Male,,,,,,,,,,,,0,,
15,1,3,Voyage Air Guitar,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
16,1,4,Gift Card Rescue,Yes,Software / Tech,Male,"2,00,000",50%,"4,00,000",,,,1,,1,,,2,"1,00,000",
17,1,4,Coverplay,Yes,Children / Education,Female,"35,000",40%,"87,500",1,,,,,,,,1,"35,000",
18,1,4,Graffiti Removal Services,No,Business Services,Male,,,,,,,,,,,,0,,
19,1,4,"Souls Calling, Inc.",No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
20,1,4,Coffee Brand Gifts,No,Food and Beverage,Male,,,,,,,,,,,,0,,
21,1,5,My Therapy Journal,Yes,Healthcare,Male,"80,000",51%,"1,56,863",,,,1,,1,,,2,"40,000",
22,1,5,Body Jac,Yes,Fitness / Sports,Male,"1,80,000",50%,"3,60,000",1,,,,,,1,,2,"90,000",contingent on him losing 30 pounds!
23,1,5,Good Grief Celebrations,No,Business Services,Female,,,,,,,,,,,,0,,
24,1,5,Granola Gourmet,No,Food and Beverage,Male,,,,,,,,,,,,0,,
25,1,5,Face Blok,No,Healthcare,Female,,,,,,,,,,,,0,,
26,1,6,Pork Barrel BBQ Sauce,Yes,Food and Beverage,Male,"50,000",50%,"1,00,000",1,,,,,,,,1,"50,000",
27,1,6,Element Bars,Yes,Fitness / Sports,Male,"1,50,000",30%,"5,00,000",,,,,,,1,,1,"1,50,000","license bars, entrepreneur gets 4% of sales forever"
28,1,6,Underease Underwear,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
29,1,6,Kalyx Technologies,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
30,1,6,The Fizz,No,Food and Beverage,Male,,,,,,,,,,,,0,,
31,1,7,Soy-Yer-Dough,Yes,Food and Beverage,Male,"3,00,000",51%,"5,88,235",,,,1,1,1,,,3,"1,00,000",
32,1,7,Grill Charms Set,Yes,Fashion / Beauty,Female,"50,000",20%,"2,50,000",,,,1,,,,,1,"50,000",
33,1,7,Boogie Box Fitness,No,Fitness / Sports,Female,,,,,,,,,,,,0,,
34,1,7,The Fun house Project,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
35,1,8,Treasure Chest Pets,Yes,Pet Products,Female,"1,00,000",60%,"1,66,667",1,,,,1,,,,2,"50,000",
36,1,8,Notehall,Yes,Software / Tech,Male,"90,000",25%,"3,60,000",1,,,,,,,,1,"90,000",deal did not go through after show; acquired by Chegg for 3.7M in equity
37,1,8,Throx,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
38,1,8,Washed Up Hollywood,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
39,1,9,Gayla Bentley Fashion,Yes,Fashion / Beauty,Female,"2,50,000",50%,"5,00,000",1,,,,1,,,,2,"1,25,000",
